"","st","State","Electoral.Votes","Obama","Romney","Winner2012","Clinton","Trump","X0","Winner2016","winner.clean","winner.margin","Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007","Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007","Births per 1,000 population 2007","Infant deaths per 1,000 live births 2007","New private housing units authorized by building permits - total 2009 (20,000-place universe)","Private nonfarm establishments 2009","School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009","School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009","Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009","Family households - married couple 2005-2009","Family households - female householder, no husband present 2005-2009","Median household income 2009 /2","Place of birth, foreign-born, percent,  2005-2009","Resident total population estimate, percent change - April 1, 2000 to July 1, 2009","Population below poverty level 2005-2009","Veterans - total 2005-2009","Resident population 65 years and over, percent (July 1 - estimate) 2010","New private housing units authorized by building permits - total 2010 (20,000-place universe)","Civilian labor force 2010","Civilian labor force unemployment rate 2010 /3","Federal Government expenditure - total FY 2010","Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)","totalPop","Population per square mile 2010","Resident population: White alone, percent (April 1 - complete count) 2010","Resident population: Black alone, percent (April 1 - complete count) 2010","Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010","Resident population: Asian alone, percent (April 1 - complete count) 2010","Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010","Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1","Resident population: males per 100 females (July 1 - estimate) 2010","Social security - benefit recipients (Dec.) 2010","Supplemental security income recipients (Dec.) 2010"
"1","AK","Alaska",3,0.408,0.548,"Romney + 14.0%",0.382,0.539,"7.90%","Trump +15.7%","Trump","+15.7%",2.60660686452717,13635,16.2,6.5,0.00128972123154298,0.0280204609486209,0.0254536904190327,0.0293425660102136,26.5,0.167151250790236,0.037337148054647,66712,6.6,11.4,0.0901650308139183,0.102071016331306,7.7,0.00127282532021272,0.508751378072768,1.12639408868382e-05,17.762290015502,63.1,710231,1.2,66.7,3.3,14.8,5.4,1,5.5,108.5,0.11011628610973,0.0172746613425773
"2","AL","Alabama",9,0.384,0.606,"Romney + 22.2%",0.344,0.621,"3.60%","Trump +27.7%","Trump","+27.7%",1.34449726930525,12364,14,9.9,0.00277546709692753,0.021090076941488,0.0221631487596805,0.0296560312117657,21.5,0.187113053942728,0.0556959631243232,40547,2.9,5.9,0.158551225423329,0.0845155464653278,13.8,0.00235598786209113,0.44504780180328,1.98755747179342e-06,11.819826869099,69.7,4779736,94.4,68.5,26.2,0.6,1.1,0.1,3.9,94.3,0.211738891018249,0.036031906364703
"3","AR","Arkansas",6,0.369,0.606,"Romney + 23.7%",0.337,0.606,"5.80%","Trump +26.9%","Trump","+26.9%",1.22081450850127,11602,14.6,7.7,0.0024198211335161,0.0224461044514969,0.0208757585089841,0.0288005355431806,18.9,0.193146377915977,0.0495312282444157,37888,4,8.1,0.167627484723507,0.0862229321949383,14.4,0.00246131749932611,0.464071006111969,2.70926685867024e-06,9.91248587923254,67,2915918,56,77,15.4,0.8,1.2,0.2,6.4,96.5,0.217784244961621,0.0365325773907222
"4","AZ","Arizona",11,0.446,0.537,"Romney + 9.1%",0.454,0.496,"5.00%","Trump +4.3%","Trump","+4.3%",2.07579454184806,13637,16.2,6.9,0.00226438696893328,0.0209749129265457,0.0238272207348635,0.0289836525778952,25.7,0.174566650870922,0.0412957287191195,48711,14.7,28.6,0.142997116559609,0.0861513666187058,13.8,0.00193522639254558,0.496894016395764,1.5644514086868e-06,10.0792582372669,66,6392017,56.3,73,4.1,4.6,2.8,0.2,29.6,98.7,0.167039136472885,0.0172106863921044
"5","CA","California",55,0.602,0.371,"Obama + 23.1%",0.617,0.334,"4.90%","Clinton +28.3%","Clinton","+28.3%",2.17031412717618,12561,15.6,5.2,0.000941349691828701,0.0230265746810889,0.0288255292941238,0.035042989796842,29.7,0.16334088116709,0.0415466480928898,58925,26.8,9.1,0.126011395944098,0.0561719405047883,11.4,0.0011734592696679,0.487900667515686,3.3285055686435e-07,8.96037167166891,55.9,37253956,239.1,57.6,6.2,1,13,0.4,37.6,98.8,0.133654020528719,0.0340288961526663
"6","CO","Colorado",9,0.515,0.461,"Obama + 5.4%",0.493,0.449,"5.80%","Clinton +4.5%","Clinton","+4.5%",2.2747960111318,13609,14.6,6.1,0.0018601382805522,0.0304217612516991,0.0262177095503933,0.0304203693791214,35.5,0.188184950437406,0.0354933472467567,55735,9.8,16.8,0.112060456581927,0.0818027374554501,10.9,0.00230474214963982,0.534358971095976,1.7696665630053e-06,9.87968196109279,65.5,5029196,48.5,81.3,4,1.1,2.8,0.1,20.7,100.5,0.137863189265242,0.0130676951146863
"7","CT","Connecticut",7,0.581,0.407,"Obama + 17.4%",0.54,0.416,"4.40%","Clinton +12.3%","Clinton","+12.3%",2.55685198247278,14953,11.9,6.6,0.00105928854197298,0.025194615591015,0.0255947166515067,0.0317747391858699,35.1,0.189391893952514,0.0454372111333296,66906,12.8,3.3,0.0827084435593102,0.0684648458058077,14.2,0.00110013802087632,0.530884584274014,2.54609765767409e-06,15.6622262910044,67.5,3574097,738.1,77.6,10.1,0.3,3.8,0,13.4,94.8,0.174076696855178,0.0162997814552879
"8","DE","Delaware",3,0.586,0.4,"Obama + 18.6%",0.534,0.419,"4.70%","Clinton +11.4%","Clinton","+11.4%",2.12796263422479,16421,14.1,7.5,0.00351473493597525,0.027310470480013,0.024127608487929,0.0327652143698757,27.5,0.180691453937595,0.0481271452022086,56985,7.8,13,0.0985651506680892,0.0872402648747013,14.4,0.00342118685783142,0.474071591007802,9.46617457407783e-06,8.99435481895106,72.1,897934,460.8,68.9,21.4,0.5,3.2,0,8.2,93.9,0.192041954085712,0.017668336425617
"9","FL","Florida",29,0.5,0.491,"Obama + 0.9%",0.479,0.493,"2.90%","Trump +1.4%","Trump","+1.4%",2.22974138504179,14353,13.1,7,0.00187907119237968,0.026128445305141,0.0223248805535359,0.0289718641945694,25.6,0.181733240928425,0.0464563373509612,44755,18.7,16,0.124828855010635,0.0896438067347435,17.3,0.00205725026607189,0.49059528298826,6.11659506704586e-07,9.93035990577252,67.4,18801310,350.6,75,16,0.4,2.4,0.1,22.5,95.6,0.201274538848623,0.025805223146685
"10","GA","Georgia",16,0.455,0.533,"Romney + 7.8%",0.459,0.51,"3.10%","Trump +5.2%","Trump","+5.2%",1.75235787243825,12326,15.9,8,0.00188157028332869,0.0226420165957637,0.0223216087529147,0.0314520968081743,27.1,0.171910884917121,0.0522348395426632,47469,9.1,20.1,0.142915729950278,0.0740999909885294,10.7,0.00178216540167159,0.484504451181313,1.05288659699104e-06,9.53658424801136,65.7,9687653,168.4,59.7,30.5,0.3,3.2,0.1,8.8,95.4,0.151554664478589,0.0235877564978845
