USA Counties
 
ALABAMA

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",4692297,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",6426342,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.8,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",13266,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",11261,"   ","ABS"
"Private nonfarm establishments 2000",99817,"1","ABS"
"Private nonfarm establishments 2009",100805,"1","ABS"
"Civilian labor force 2000",2154545,"   ","ABS"
"Civilian labor force 2010",2127211,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",4.1,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",9.5,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",105934,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",141748,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",21.5,"   ","PCT"
"Federal Government expenditure - total FY 2000",29250025,"1","TH$"
"Federal Government expenditure - total FY 2010",56495652,"1","TH$"
"Family households - married couple 2005-2009",894351,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",266212,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",508317,"   ","ABS"
"Total housing units 1990 (complete count)",1670379,"   ","ABS"
"Total housing units 2000 (complete count)",1963711,"   ","ABS"
"Total housing units 2010 (complete count)",2171853,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",72.5,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",69.7,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",41216,"   ","DOL"
"Median household income 2009 /2",40547,"   ","DOL"
"People of all ages in poverty - number 2009 /2",805223,"   ","ABS"
"Number of returns 2008",1829366,"   ","ABS"
"Adjusted gross income 2008",90278239,"   ","TH$"
"Wages and salaries income 2008",68759093,"   ","TH$"
"Personal income 2000",105806693,"   ","TH$"
"Per capita personal income 2000",23768,"   ","DOL"
"Personal income 2007",149991,"   ","ML$"
"Per capita personal income 2007",32419,"   ","DOL"
"Resident population (April 1 - complete count) 2000",4447100,"   ","ABS"
"Resident population (April 1 - complete count) 2010",4779736,"   ","ABS"
"Population per square mile 2000",87.6,"   ","RTE"
"Population per square mile 2010",94.4,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",2.9,"   ","PCT"
"Resident total population estimate (July 1) 2009",4708708,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",261326,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",5.9,"   ","PCT"
"Population below poverty level 1999",698097,"   ","ABS"
"Population below poverty level 2005-2009",757833,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",68.5,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",26.2,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.6,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",1.1,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",3.9,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",43784342,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",57344851,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",9771,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",12364,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",94.3,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",825773,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",1012056,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",159486,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",172223,"2","ABS"
"Veterans - total 2005-2009",403962,"   ","ABS"
"Births per 1,000 population 2000",14.2,"   ","RTE"
"Births per 1,000 population 2007",14,"   ","RTE"
"Infant deaths per 1,000 live births 2000",9.4,"   ","RTE"
"Infant deaths per 1,000 live births 2007",9.9,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
