USA Counties
 
ARKANSAS                        

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",2766905,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",3559795,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",14.4,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",7056,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",7177,"   ","ABS"
"Private nonfarm establishments 2000",63185,"1","ABS"
"Private nonfarm establishments 2009",65451,"1","ABS"
"Civilian labor force 2000",1260256,"   ","ABS"
"Civilian labor force 2010",1353193,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",4.2,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",7.9,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",60872,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",83980,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",18.9,"   ","PCT"
"Federal Government expenditure - total FY 2000",14846745,"1","TH$"
"Federal Government expenditure - total FY 2010",28903996,"1","TH$"
"Family households - married couple 2005-2009",563199,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",144429,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",305252,"   ","ABS"
"Total housing units 1990 (complete count)",1000667,"   ","ABS"
"Total housing units 2000 (complete count)",1173043,"   ","ABS"
"Total housing units 2010 (complete count)",1316299,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",69.4,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",67,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",38542,"   ","DOL"
"Median household income 2009 /2",37888,"   ","DOL"
"People of all ages in poverty - number 2009 /2",519026,"   ","ABS"
"Number of returns 2008",1088897,"   ","ABS"
"Adjusted gross income 2008",49501143,"   ","TH$"
"Wages and salaries income 2008",37312019,"   ","TH$"
"Personal income 2000",58726196,"   ","TH$"
"Per capita personal income 2000",21927,"   ","DOL"
"Personal income 2007",85418,"   ","ML$"
"Per capita personal income 2007",30177,"   ","DOL"
"Resident population (April 1 - complete count) 2000",2673400,"   ","ABS"
"Resident population (April 1 - complete count) 2010",2915918,"   ","ABS"
"Population per square mile 2000",51.3,"   ","RTE"
"Population per square mile 2010",56,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",4,"   ","PCT"
"Resident total population estimate (July 1) 2009",2889450,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",216064,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",8.1,"   ","PCT"
"Population below poverty level 1999",411777,"   ","ABS"
"Population below poverty level 2005-2009",488788,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",77,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",15.4,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.8,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",1.2,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.2,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",6.4,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",25611630,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",32974282,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",9459,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",11602,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",96.5,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",523588,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",635041,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",85410,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",106526,"2","ABS"
"Veterans - total 2005-2009",251419,"   ","ABS"
"Births per 1,000 population 2000",14.1,"   ","RTE"
"Births per 1,000 population 2007",14.6,"   ","RTE"
"Infant deaths per 1,000 live births 2000",8.4,"   ","RTE"
"Infant deaths per 1,000 live births 2007",7.7,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
