USA Counties
 
DISTRICT OF COLUMBIA              

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",2943078,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",4278171,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",11.4,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",1126,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",739,"   ","ABS"
"Private nonfarm establishments 2000",19655,"   ","ABS"
"Private nonfarm establishments 2009",21210,"   ","ABS"
"Civilian labor force 2000",309421,"   ","ABS"
"Civilian labor force 2010",333626,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",5.7,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",9.9,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",17960,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",24260,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",47.1,"   ","PCT"
"Federal Government expenditure - total FY 2000",27417614,"   ","TH$"
"Federal Government expenditure - total FY 2010",61919810,"   ","TH$"
"Family households - married couple 2005-2009",56144,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",44514,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",117435,"   ","ABS"
"Total housing units 1990 (complete count)",278489,"   ","ABS"
"Total housing units 2000 (complete count)",274845,"   ","ABS"
"Total housing units 2010 (complete count)",296719,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",40.8,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",42,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",56519,"   ","DOL"
"Median household income 2009 /2",58906,"   ","DOL"
"People of all ages in poverty - number 2009 /2",100489,"   ","ABS"
"Number of returns 2008",270244,"   ","ABS"
"Adjusted gross income 2008",18316800,"   ","TH$"
"Wages and salaries income 2008",14126057,"   ","TH$"
"Personal income 2000",23102223,"   ","TH$"
"Per capita personal income 2000",40408,"   ","DOL"
"Personal income 2007",36732,"   ","ML$"
"Per capita personal income 2007",62484,"   ","DOL"
"Resident population (April 1 - complete count) 2000",572059,"   ","ABS"
"Resident population (April 1 - complete count) 2010",601723,"   ","ABS"
"Population per square mile 2000",9378,"   ","RTE"
"Population per square mile 2010",9856.5,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",12.5,"   ","PCT"
"Resident total population estimate (July 1) 2009",599657,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",27602,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",4.8,"   ","PCT"
"Population below poverty level 1999",109500,"   ","ABS"
"Population below poverty level 2005-2009",102142,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",38.5,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",50.7,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.3,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",3.5,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",9.1,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",3061401,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",3843716,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",5422,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",6555,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",89.5,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",73703,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",74417,"   ","ABS"
"Supplemental security income recipients (Dec.) 2000",20073,"   ","ABS"
"Supplemental security income recipients (Dec.) 2010",24371,"   ","ABS"
"Veterans - total 2005-2009",34551,"   ","ABS"
"Births per 1,000 population 2000",13.4,"   ","RTE"
"Births per 1,000 population 2007",15.1,"   ","RTE"
"Infant deaths per 1,000 live births 2000",12,"   ","RTE"
"Infant deaths per 1,000 live births 2007",13.1,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.





Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
