USA Counties
 
DELAWARE

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",1231595,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",1910770,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",14.4,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",3156,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",3072,"   ","ABS"
"Private nonfarm establishments 2000",23771,"   ","ABS"
"Private nonfarm establishments 2009",24523,"1","ABS"
"Civilian labor force 2000",416503,"   ","ABS"
"Civilian labor force 2010",425685,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.3,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",8.5,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",21665,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",29421,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",27.5,"   ","PCT"
"Federal Government expenditure - total FY 2000",3961542,"1","TH$"
"Federal Government expenditure - total FY 2010",8076337,"1","TH$"
"Family households - married couple 2005-2009",162249,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",43215,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",85332,"   ","ABS"
"Total housing units 1990 (complete count)",289919,"   ","ABS"
"Total housing units 2000 (complete count)",343072,"   ","ABS"
"Total housing units 2010 (complete count)",405885,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",72.3,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",72.1,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",57618,"   ","DOL"
"Median household income 2009 /2",56985,"   ","DOL"
"People of all ages in poverty - number 2009 /2",96409,"   ","ABS"
"Number of returns 2008",374666,"   ","ABS"
"Adjusted gross income 2008",22112384,"   ","TH$"
"Wages and salaries income 2008",16431998,"   ","TH$"
"Personal income 2000",24276962,"   ","TH$"
"Per capita personal income 2000",30871,"   ","DOL"
"Personal income 2007",34575,"   ","ML$"
"Per capita personal income 2007",40112,"   ","DOL"
"Resident population (April 1 - complete count) 2000",783600,"   ","ABS"
"Resident population (April 1 - complete count) 2010",897934,"   ","ABS"
"Population per square mile 2000",401,"   ","RTE"
"Population per square mile 2010",460.8,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",7.8,"   ","PCT"
"Resident total population estimate (July 1) 2009",885122,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",101565,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",13,"   ","PCT"
"Population below poverty level 1999",69901,"   ","ABS"
"Population below poverty level 2005-2009",88505,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",68.9,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",21.4,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.5,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",3.2,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",8.2,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",10912971,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",14202083,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",13538,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",16421,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",93.9,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",132368,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",172441,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",11984,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",15865,"   ","ABS"
"Veterans - total 2005-2009",78336,"   ","ABS"
"Births per 1,000 population 2000",14.1,"   ","RTE"
"Births per 1,000 population 2007",14.1,"   ","RTE"
"Infant deaths per 1,000 live births 2000",9.2,"   ","RTE"
"Infant deaths per 1,000 live births 2007",7.5,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
