USA Counties
 
GEORGIA

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",12740423,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",16976235,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",10.7,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",18228,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",17265,"   ","ABS"
"Private nonfarm establishments 2000",200442,"1","ABS"
"Private nonfarm establishments 2009",219348,"1","ABS"
"Civilian labor force 2000",4242889,"   ","ABS"
"Civilian labor force 2010",4693711,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.5,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",10.2,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",216244,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",304697,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",27.1,"   ","PCT"
"Federal Government expenditure - total FY 2000",42525404,"1","TH$"
"Federal Government expenditure - total FY 2010",92387119,"1","TH$"
"Family households - married couple 2005-2009",1665413,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",506033,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",904519,"   ","ABS"
"Total housing units 1990 (complete count)",2638418,"   ","ABS"
"Total housing units 2000 (complete count)",3281737,"   ","ABS"
"Total housing units 2010 (complete count)",4088801,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",67.5,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",65.7,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",49466,"   ","DOL"
"Median household income 2009 /2",47469,"   ","DOL"
"People of all ages in poverty - number 2009 /2",1585116,"   ","ABS"
"Number of returns 2008",3745328,"   ","ABS"
"Adjusted gross income 2008",191808341,"   ","TH$"
"Wages and salaries income 2008",152220914,"   ","TH$"
"Personal income 2000",230355758,"   ","TH$"
"Per capita personal income 2000",27990,"   ","DOL"
"Personal income 2007",319018,"   ","ML$"
"Per capita personal income 2007",33499,"   ","DOL"
"Resident population (April 1 - complete count) 2000",8186453,"   ","ABS"
"Resident population (April 1 - complete count) 2010",9687653,"   ","ABS"
"Population per square mile 2000",141.4,"   ","RTE"
"Population per square mile 2010",168.4,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",9.1,"   ","PCT"
"Resident total population estimate (July 1) 2009",9829211,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",1642430,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",20.1,"   ","PCT"
"Population below poverty level 1999",1033793,"   ","ABS"
"Population below poverty level 2005-2009",1384518,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",59.7,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",30.5,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.3,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",3.2,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",8.8,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",90098578,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",117516907,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",10551,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",12326,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",95.4,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",1101028,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",1468209,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",196907,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",228510,"   ","ABS"
"Veterans - total 2005-2009",717855,"   ","ABS"
"Births per 1,000 population 2000",16.1,"   ","RTE"
"Births per 1,000 population 2007",15.9,"   ","RTE"
"Infant deaths per 1,000 live births 2000",8.5,"   ","RTE"
"Infant deaths per 1,000 live births 2007",8,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
