USA Counties
 
HAWAII                          

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",5551380,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",8042210,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",14.3,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",2617,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",3442,"   ","ABS"
"Private nonfarm establishments 2000",29853,"   ","ABS"
"Private nonfarm establishments 2009",32372,"1","ABS"
"Civilian labor force 2000",609018,"   ","ABS"
"Civilian labor force 2010",629030,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",4,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",6.6,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",33356,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",40209,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",29.2,"   ","PCT"
"Federal Government expenditure - total FY 2000",9036388,"1","TH$"
"Federal Government expenditure - total FY 2010",20855223,"1","TH$"
"Family households - married couple 2005-2009",227685,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",54871,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",102634,"   ","ABS"
"Total housing units 1990 (complete count)",389810,"   ","ABS"
"Total housing units 2000 (complete count)",460542,"   ","ABS"
"Total housing units 2010 (complete count)",519508,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",56.5,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",57.7,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",64661,"   ","DOL"
"Median household income 2009 /2",63741,"   ","DOL"
"People of all ages in poverty - number 2009 /2",131896,"   ","ABS"
"Number of returns 2008",578371,"   ","ABS"
"Adjusted gross income 2008",30041103,"   ","TH$"
"Wages and salaries income 2008",22434238,"   ","TH$"
"Personal income 2000",34450883,"   ","TH$"
"Per capita personal income 2000",28437,"   ","DOL"
"Personal income 2007",50125,"   ","ML$"
"Per capita personal income 2007",39242,"   ","DOL"
"Resident population (April 1 - complete count) 2000",1211537,"   ","ABS"
"Resident population (April 1 - complete count) 2010",1360301,"   ","ABS"
"Population per square mile 2000",188.6,"   ","RTE"
"Population per square mile 2010",211.8,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",16.8,"   ","PCT"
"Resident total population estimate (July 1) 2009",1295178,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",83640,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",6.9,"   ","PCT"
"Population below poverty level 1999",126154,"   ","ABS"
"Population below poverty level 2005-2009",117745,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",24.7,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",1.6,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.3,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",38.6,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",10,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",8.9,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",13008182,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",17611851,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",10537,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",13793,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",100.3,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",183802,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",227914,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",21019,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",24945,"   ","ABS"
"Veterans - total 2005-2009",116210,"   ","ABS"
"Births per 1,000 population 2000",14.5,"   ","RTE"
"Births per 1,000 population 2007",15,"   ","RTE"
"Infant deaths per 1,000 live births 2000",8.1,"   ","RTE"
"Infant deaths per 1,000 live births 2007",6.5,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
