USA Counties
 
IOWA 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",3698955,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",4737719,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",14.9,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",7729,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",7607,"   ","ABS"
"Private nonfarm establishments 2000",80890,"1","ABS"
"Private nonfarm establishments 2009",80971,"1","ABS"
"Civilian labor force 2000",1601920,"   ","ABS"
"Civilian labor force 2010",1670621,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",2.8,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",6.1,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",84722,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",104000,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",24.2,"   ","PCT"
"Federal Government expenditure - total FY 2000",14761424,"1","TH$"
"Federal Government expenditure - total FY 2010",28378852,"1","TH$"
"Family households - married couple 2005-2009",639285,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",109146,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",343853,"   ","ABS"
"Total housing units 1990 (complete count)",1143669,"   ","ABS"
"Total housing units 2000 (complete count)",1232511,"   ","ABS"
"Total housing units 2010 (complete count)",1336417,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",72.3,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",72.1,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",48052,"   ","DOL"
"Median household income 2009 /2",48065,"   ","DOL"
"People of all ages in poverty - number 2009 /2",342309,"   ","ABS"
"Number of returns 2008",1255481,"   ","ABS"
"Adjusted gross income 2008",68943594,"   ","TH$"
"Wages and salaries income 2008",50611067,"   ","TH$"
"Personal income 2000",77762743,"   ","TH$"
"Per capita personal income 2000",26558,"   ","DOL"
"Personal income 2007",104168,"   ","ML$"
"Per capita personal income 2007",34916,"   ","DOL"
"Resident population (April 1 - complete count) 2000",2926324,"   ","ABS"
"Resident population (April 1 - complete count) 2010",3046355,"   ","ABS"
"Population per square mile 2000",52.4,"   ","RTE"
"Population per square mile 2010",54.5,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",3.8,"   ","PCT"
"Resident total population estimate (July 1) 2009",3007856,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",81476,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",2.8,"   ","PCT"
"Population below poverty level 1999",258008,"   ","ABS"
"Population below poverty level 2005-2009",326922,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",91.3,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",2.9,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.4,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",1.7,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",5,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",31195012,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",39234649,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",10629,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",13172,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",98.1,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",541304,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",584113,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",40282,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",47687,"   ","ABS"
"Veterans - total 2005-2009",245653,"   ","ABS"
"Births per 1,000 population 2000",13.1,"   ","RTE"
"Births per 1,000 population 2007",13.7,"   ","RTE"
"Infant deaths per 1,000 live births 2000",6.5,"   ","RTE"
"Infant deaths per 1,000 live births 2007",5.5,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
