USA Counties
 
IDAHO                          

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",1653671,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",2415951,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",12.4,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",4863,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",4153,"   ","ABS"
"Private nonfarm establishments 2000",37429,"1","ABS"
"Private nonfarm establishments 2009",44300,"1","ABS"
"Civilian labor force 2000",662958,"   ","ABS"
"Civilian labor force 2010",757939,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",4.6,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",9.3,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",42012,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",44803,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",23.7,"   ","PCT"
"Federal Government expenditure - total FY 2000",7012363,"1","TH$"
"Federal Government expenditure - total FY 2010",14251733,"1","TH$"
"Family households - married couple 2005-2009",315115,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",50161,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",129473,"   ","ABS"
"Total housing units 1990 (complete count)",413327,"   ","ABS"
"Total housing units 2000 (complete count)",527824,"   ","ABS"
"Total housing units 2010 (complete count)",667796,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",72.4,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",69.9,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",46183,"   ","DOL"
"Median household income 2009 /2",44644,"   ","DOL"
"People of all ages in poverty - number 2009 /2",217528,"   ","ABS"
"Number of returns 2008",587393,"   ","ABS"
"Adjusted gross income 2008",28314427,"   ","TH$"
"Wages and salaries income 2008",21078506,"   ","TH$"
"Personal income 2000",31289782,"   ","TH$"
"Per capita personal income 2000",24079,"   ","DOL"
"Personal income 2007",47583,"   ","ML$"
"Per capita personal income 2007",31804,"   ","DOL"
"Resident population (April 1 - complete count) 2000",1293953,"   ","ABS"
"Resident population (April 1 - complete count) 2010",1567582,"   ","ABS"
"Population per square mile 2000",15.6,"   ","RTE"
"Population per square mile 2010",19,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",5.8,"   ","PCT"
"Resident total population estimate (July 1) 2009",1545801,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",251846,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",19.5,"   ","PCT"
"Population below poverty level 1999",148732,"   ","ABS"
"Population below poverty level 2005-2009",196121,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",89.1,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",0.6,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",1.4,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",1.2,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",11.2,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",13540952,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",20526631,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",10081,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",13691,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",100.4,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",195695,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",269293,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",18381,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",27294,"2","ABS"
"Veterans - total 2005-2009",131409,"   ","ABS"
"Births per 1,000 population 2000",15.7,"   ","RTE"
"Births per 1,000 population 2007",16.7,"   ","RTE"
"Infant deaths per 1,000 live births 2000",7.5,"   ","RTE"
"Infant deaths per 1,000 live births 2007",6.8,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
