USA Counties
 
ILLINOIS 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",19072168,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",25469026,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",12.5,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",10859,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",12318,"   ","ABS"
"Private nonfarm establishments 2000",308067,"1","ABS"
"Private nonfarm establishments 2009",314977,"1","ABS"
"Civilian labor force 2000",6467692,"   ","ABS"
"Civilian labor force 2010",6646171,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",4.5,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",10.3,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",347657,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",422968,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",29.8,"   ","PCT"
"Federal Government expenditure - total FY 2000",60045925,"1","TH$"
"Federal Government expenditure - total FY 2010",109967471,"1","TH$"
"Family households - married couple 2005-2009",2344034,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",586361,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",1348786,"   ","ABS"
"Total housing units 1990 (complete count)",4506275,"   ","ABS"
"Total housing units 2000 (complete count)",4885615,"   ","ABS"
"Total housing units 2010 (complete count)",5296715,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",67.3,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",67.5,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",55222,"   ","DOL"
"Median household income 2009 /2",53974,"   ","DOL"
"People of all ages in poverty - number 2009 /2",1671343,"   ","ABS"
