USA Counties
 
KANSAS 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",3196947,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",4192347,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.2,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",6677,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",5140,"   ","ABS"
"Private nonfarm establishments 2000",74939,"1","ABS"
"Private nonfarm establishments 2009",74698,"1","ABS"
"Civilian labor force 2000",1405104,"   ","ABS"
"Civilian labor force 2010",1502313,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.8,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",7,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",82387,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",96411,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",28.8,"   ","PCT"
"Federal Government expenditure - total FY 2000",14282249,"1","TH$"
"Federal Government expenditure - total FY 2010",29045511,"1","TH$"
"Family households - married couple 2005-2009",571077,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",111272,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",306026,"   ","ABS"
"Total housing units 1990 (complete count)",1044112,"   ","ABS"
"Total housing units 2000 (complete count)",1131200,"   ","ABS"
"Total housing units 2010 (complete count)",1233215,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",69.2,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",67.8,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",48394,"   ","DOL"
"Median household income 2009 /2",47709,"   ","DOL"
"People of all ages in poverty - number 2009 /2",359692,"   ","ABS"
"Number of returns 2008",1157226,"   ","ABS"
"Adjusted gross income 2008",64980613,"   ","TH$"
"Wages and salaries income 2008",48593950,"   ","TH$"
"Personal income 2000",74569739,"   ","TH$"
"Per capita personal income 2000",27693,"   ","DOL"
"Personal income 2007",101444,"   ","ML$"
"Per capita personal income 2007",36525,"   ","DOL"
"Resident population (April 1 - complete count) 2000",2688418,"   ","ABS"
"Resident population (April 1 - complete count) 2010",2853118,"   ","ABS"
"Population per square mile 2000",32.9,"   ","RTE"
"Population per square mile 2010",34.9,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",6,"   ","PCT"
"Resident total population estimate (July 1) 2009",2818747,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",129936,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",4.8,"   ","PCT"
"Population below poverty level 1999",257829,"   ","ABS"
"Population below poverty level 2005-2009",328843,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",83.8,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",5.9,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",1,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",2.4,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",10.5,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",26505396,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",34538332,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",9770,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",12444,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",98.4,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",440531,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",488765,"   ","ABS"
"Supplemental security income recipients (Dec.) 2000",36282,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",45793,"2","ABS"
"Veterans - total 2005-2009",230715,"   ","ABS"
"Births per 1,000 population 2000",14.7,"   ","RTE"
"Births per 1,000 population 2007",15.1,"   ","RTE"
"Infant deaths per 1,000 live births 2000",6.8,"   ","RTE"
"Infant deaths per 1,000 live births 2007",7.9,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
