USA Counties
 
KENTUCKY 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",4908331,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",6300866,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.3,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",7398,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",7986,"   ","ABS"
"Private nonfarm establishments 2000",89921,"1","ABS"
"Private nonfarm establishments 2009",90661,"1","ABS"
"Civilian labor force 2000",1949013,"   ","ABS"
"Civilian labor force 2010",2083958,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",4.2,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",10.5,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",96986,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",128178,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",20,"   ","PCT"
"Federal Government expenditure - total FY 2000",24471692,"1","TH$"
"Federal Government expenditure - total FY 2010",57270528,"1","TH$"
"Family households - married couple 2005-2009",853545,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",205836,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",466899,"   ","ABS"
"Total housing units 1990 (complete count)",1506845,"   ","ABS"
"Total housing units 2000 (complete count)",1750927,"   ","ABS"
"Total housing units 2010 (complete count)",1927164,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",70.8,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",68.7,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",41197,"   ","DOL"
"Median household income 2009 /2",40061,"   ","DOL"
"People of all ages in poverty - number 2009 /2",771876,"   ","ABS"
"Number of returns 2008",1665421,"   ","ABS"
"Adjusted gross income 2008",80335625,"   ","TH$"
"Wages and salaries income 2008",61050224,"   ","TH$"
"Personal income 2000",98845348,"   ","TH$"
"Per capita personal income 2000",24413,"   ","DOL"
"Personal income 2007",130581,"   ","ML$"
"Per capita personal income 2007",30824,"   ","DOL"
"Resident population (April 1 - complete count) 2000",4041769,"   ","ABS"
"Resident population (April 1 - complete count) 2010",4339367,"   ","ABS"
"Population per square mile 2000",101.7,"   ","RTE"
"Population per square mile 2010",109.9,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",2.8,"   ","PCT"
"Resident total population estimate (July 1) 2009",4314113,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",271825,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",6.7,"   ","PCT"
"Population below poverty level 1999",621096,"   ","ABS"
"Population below poverty level 2005-2009",719746,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",87.8,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",7.8,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.2,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",1.1,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",3.1,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",40062561,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",50405925,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",9795,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",11843,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",96.8,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",739585,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",894473,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",174349,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",192076,"   ","ABS"
"Veterans - total 2005-2009",334465,"   ","ABS"
"Births per 1,000 population 2000",13.8,"   ","RTE"
"Births per 1,000 population 2007",13.9,"   ","RTE"
"Infant deaths per 1,000 live births 2000",7.2,"   ","RTE"
"Infant deaths per 1,000 live births 2007",6.7,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
