USA Counties
 
LOUISIANA

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",7411702,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",9729869,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",12.3,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",12513,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",11343,"   ","ABS"
"Private nonfarm establishments 2000",101016,"1","ABS"
"Private nonfarm establishments 2009",103384,"1","ABS"
"Civilian labor force 2000",2031292,"   ","ABS"
"Civilian labor force 2010",2081675,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",5,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",7.5,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",99053,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",138921,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",20.6,"   ","PCT"
"Federal Government expenditure - total FY 2000",25994861,"1","TH$"
"Federal Government expenditure - total FY 2010",53214248,"1","TH$"
"Family households - married couple 2005-2009",767815,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",268875,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",450627,"   ","ABS"
"Total housing units 1990 (complete count)",1716241,"   ","ABS"
"Total housing units 2000 (complete count)",1847181,"   ","ABS"
"Total housing units 2010 (complete count)",1964981,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",67.9,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",67.2,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",42167,"   ","DOL"
"Median household income 2009 /2",42460,"   ","DOL"
"People of all ages in poverty - number 2009 /2",769001,"   ","ABS"
"Number of returns 2008",1716578,"   ","ABS"
"Adjusted gross income 2008",87187924,"   ","TH$"
"Wages and salaries income 2008",65849335,"   ","TH$"
"Personal income 2000",103150742,"   ","TH$"
"Per capita personal income 2000",23082,"   ","DOL"
"Personal income 2007",153504,"   ","ML$"
"Per capita personal income 2007",35100,"   ","DOL"
"Resident population (April 1 - complete count) 2000",4468976,"   ","ABS"
"Resident population (April 1 - complete count) 2010",4533372,"   ","ABS"
"Population per square mile 2000",102.6,"   ","RTE"
"Population per square mile 2010",104.9,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",3.1,"   ","PCT"
"Resident total population estimate (July 1) 2009",4492076,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",23104,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",0.5,"   ","PCT"
"Population below poverty level 1999",851113,"   ","ABS"
"Population below poverty level 2005-2009",789634,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",62.6,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",32,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.7,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",1.5,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",4.2,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",41885192,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",56543203,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",9356,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",12921,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",95.9,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",711631,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",790617,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",165577,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",174731,"   ","ABS"
"Veterans - total 2005-2009",322283,"   ","ABS"
"Births per 1,000 population 2000",15.2,"   ","RTE"
"Births per 1,000 population 2007",15.2,"   ","RTE"
"Infant deaths per 1,000 live births 2000",9,"   ","RTE"
"Infant deaths per 1,000 live births 2007",9.2,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
