USA Counties
 
MASSACHUSETTS 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",11789582,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",14917210,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.8,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",7941,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",9075,"   ","ABS"
"Private nonfarm establishments 2000",176222,"1","ABS"
"Private nonfarm establishments 2009",170473,"1","ABS"
"Civilian labor force 2000",3365573,"   ","ABS"
"Civilian labor force 2010",3494271,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",2.7,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",8.5,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",182202,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",230516,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",37.8,"   ","PCT"
"Federal Government expenditure - total FY 2000",40859704,"1","TH$"
"Federal Government expenditure - total FY 2010",82453587,"1","TH$"
"Family households - married couple 2005-2009",1182848,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",293052,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",717991,"   ","ABS"
"Total housing units 1990 (complete count)",2472711,"   ","ABS"
"Total housing units 2000 (complete count)",2621989,"   ","ABS"
"Total housing units 2010 (complete count)",2808254,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",61.7,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",62.3,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",64496,"   ","DOL"
"Median household income 2009 /2",64057,"   ","DOL"
"People of all ages in poverty - number 2009 /2",658497,"   ","ABS"
"Number of returns 2008",2772818,"   ","ABS"
"Adjusted gross income 2008",198294040,"   ","TH$"
"Wages and salaries income 2008",153256964,"   ","TH$"
"Personal income 2000",240208628,"   ","TH$"
"Per capita personal income 2000",37753,"   ","DOL"
"Personal income 2007",316896,"   ","ML$"
"Per capita personal income 2007",48995,"   ","DOL"
"Resident population (April 1 - complete count) 2000",6349097,"   ","ABS"
"Resident population (April 1 - complete count) 2010",6547629,"   ","ABS"
"Population per square mile 2000",809.8,"   ","RTE"
"Population per square mile 2010",839.4,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",14.1,"   ","PCT"
"Resident total population estimate (July 1) 2009",6593587,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",244468,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",3.9,"   ","PCT"
"Population below poverty level 1999",573421,"   ","ABS"
"Population below poverty level 2005-2009",633667,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",80.4,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",6.6,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.3,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",5.3,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",9.6,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",73903837,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",88082966,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",11525,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",13553,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",93.7,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",1060613,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",1140830,"   ","ABS"
"Supplemental security income recipients (Dec.) 2000",167559,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",192814,"   ","ABS"
"Veterans - total 2005-2009",440732,"   ","ABS"
"Births per 1,000 population 2000",12.8,"   ","RTE"
"Births per 1,000 population 2007",12,"   ","RTE"
"Infant deaths per 1,000 live births 2000",4.6,"   ","RTE"
"Infant deaths per 1,000 live births 2007",4.9,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
