USA Counties
 
MARYLAND 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",7832268,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",10758428,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",12.3,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",11123,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",11931,"   ","ABS"
"Private nonfarm establishments 2000",128467,"1","ABS"
"Private nonfarm establishments 2009",135633,"1","ABS"
"Civilian labor force 2000",2811657,"   ","ABS"
"Civilian labor force 2010",2980772,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.6,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",7.5,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",143617,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",196058,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",35.2,"   ","PCT"
"Federal Government expenditure - total FY 2000",45365279,"1","TH$"
"Federal Government expenditure - total FY 2010",96260932,"1","TH$"
"Family households - married couple 2005-2009",1019915,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",287899,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",566739,"   ","ABS"
"Total housing units 1990 (complete count)",1891917,"   ","ABS"
"Total housing units 2000 (complete count)",2145283,"   ","ABS"
"Total housing units 2010 (complete count)",2378814,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",67.7,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",67.5,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",69475,"   ","DOL"
"Median household income 2009 /2",69193,"   ","DOL"
"People of all ages in poverty - number 2009 /2",509141,"   ","ABS"
"Number of returns 2008",2420779,"   ","ABS"
"Adjusted gross income 2008",165077507,"   ","TH$"
"Wages and salaries income 2008",129586408,"   ","TH$"
"Personal income 2000",181957207,"   ","TH$"
"Per capita personal income 2000",34264,"   ","DOL"
"Personal income 2007",261115,"   ","ML$"
"Per capita personal income 2007",46471,"   ","DOL"
"Resident population (April 1 - complete count) 2000",5296486,"   ","ABS"
"Resident population (April 1 - complete count) 2010",5773552,"   ","ABS"
"Population per square mile 2000",541.9,"   ","RTE"
"Population per square mile 2010",594.8,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",12.3,"   ","PCT"
"Resident total population estimate (July 1) 2009",5699478,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",402934,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",7.6,"   ","PCT"
"Population below poverty level 1999",438676,"   ","ABS"
"Population below poverty level 2005-2009",449770,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",58.2,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",29.4,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.4,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",5.5,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",8.2,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",60039971,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",75664186,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",11034,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",13429,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",93.6,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",724544,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",850361,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",88138,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",107636,"   ","ABS"
"Veterans - total 2005-2009",461622,"   ","ABS"
"Births per 1,000 population 2000",14,"   ","RTE"
"Births per 1,000 population 2007",13.9,"   ","RTE"
"Infant deaths per 1,000 live births 2000",7.6,"   ","RTE"
"Infant deaths per 1,000 live births 2007",8,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
