USA Counties
 
MAINE 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",2045841,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",2515827,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",15.9,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",3121,"1","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",3034,"1","ABS"
"Private nonfarm establishments 2000",39466,"   ","ABS"
"Private nonfarm establishments 2009",40616,"1","ABS"
"Civilian labor force 2000",672440,"   ","ABS"
"Civilian labor force 2010",697251,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.3,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",7.9,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",29183,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",40020,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",26.1,"   ","PCT"
"Federal Government expenditure - total FY 2000",7853231,"1","TH$"
"Federal Government expenditure - total FY 2010",14643919,"1","TH$"
"Family households - married couple 2005-2009",275763,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",52917,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",151804,"   ","ABS"
"Total housing units 1990 (complete count)",587045,"   ","ABS"
"Total housing units 2000 (complete count)",651901,"   ","ABS"
"Total housing units 2010 (complete count)",721830,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",71.6,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",71.3,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",46541,"   ","DOL"
"Median household income 2009 /2",45708,"   ","DOL"
"People of all ages in poverty - number 2009 /2",161504,"   ","ABS"
"Number of returns 2008",560581,"   ","ABS"
"Adjusted gross income 2008",28081290,"   ","TH$"
"Wages and salaries income 2008",20978796,"   ","TH$"
"Personal income 2000",33173133,"   ","TH$"
"Per capita personal income 2000",25974,"   ","DOL"
"Personal income 2007",44711,"   ","ML$"
"Per capita personal income 2007",33991,"   ","DOL"
"Resident population (April 1 - complete count) 2000",1274923,"   ","ABS"
"Resident population (April 1 - complete count) 2010",1328361,"   ","ABS"
"Population per square mile 2000",41.3,"   ","RTE"
"Population per square mile 2010",43.1,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",3.3,"   ","PCT"
"Resident total population estimate (July 1) 2009",1318301,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",43386,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",3.4,"   ","PCT"
"Population below poverty level 1999",135501,"   ","ABS"
"Population below poverty level 2005-2009",161582,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",95.2,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",1.2,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.6,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",1,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",1.3,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",16053515,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",20444031,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",12370,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",15520,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",95.8,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",250724,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",299875,"   ","ABS"
"Supplemental security income recipients (Dec.) 2000",29727,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",35426,"   ","ABS"
"Veterans - total 2005-2009",139410,"   ","ABS"
"Births per 1,000 population 2000",10.6,"   ","RTE"
"Births per 1,000 population 2007",10.7,"   ","RTE"
"Infant deaths per 1,000 live births 2000",4.9,"   ","RTE"
"Infant deaths per 1,000 live births 2007",6.3,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
