USA Counties
 
MICHIGAN 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",12248269,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",14536648,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.8,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",6884,"1","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",9075,"1","ABS"
"Private nonfarm establishments 2000",236912,"1","ABS"
"Private nonfarm establishments 2009",221682,"1","ABS"
"Civilian labor force 2000",5143916,"   ","ABS"
"Civilian labor force 2010",4789652,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.7,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",12.5,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",285775,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",364970,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",24.5,"   ","PCT"
"Federal Government expenditure - total FY 2000",46851481,"1","TH$"
"Federal Government expenditure - total FY 2010",90921117,"1","TH$"
"Family households - married couple 2005-2009",1931464,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",475901,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",1078531,"   ","ABS"
"Total housing units 1990 (complete count)",3847926,"   ","ABS"
"Total housing units 2000 (complete count)",4234279,"   ","ABS"
"Total housing units 2010 (complete count)",4532233,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",73.8,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",72.1,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",48700,"   ","DOL"
"Median household income 2009 /2",45254,"   ","DOL"
"People of all ages in poverty - number 2009 /2",1565559,"   ","ABS"
"Number of returns 2008",4076179,"   ","ABS"
"Adjusted gross income 2008",216769163,"   ","TH$"
"Wages and salaries income 2008",162945643,"   ","TH$"
"Personal income 2000",294226742,"   ","TH$"
"Per capita personal income 2000",29555,"   ","DOL"
"Personal income 2007",345940,"   ","ML$"
"Per capita personal income 2007",34423,"   ","DOL"
"Resident population (April 1 - complete count) 2000",9938444,"   ","ABS"
"Resident population (April 1 - complete count) 2010",9883640,"   ","ABS"
"Population per square mile 2000",175,"   ","RTE"
"Population per square mile 2010",174.8,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",6,"   ","PCT"
"Resident total population estimate (July 1) 2009",9969727,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",31235,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",0.3,"   ","PCT"
"Population below poverty level 1999",1021605,"   ","ABS"
"Population below poverty level 2005-2009",1417380,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",78.9,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",14.2,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.6,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",2.4,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",4.4,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",109350139,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",109102594,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",10889,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",10855,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",96.3,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",1646864,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",1964862,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",209539,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",253532,"   ","ABS"
"Veterans - total 2005-2009",751248,"   ","ABS"
"Births per 1,000 population 2000",13.7,"   ","RTE"
"Births per 1,000 population 2007",12.5,"   ","RTE"
"Infant deaths per 1,000 live births 2000",8.2,"   ","RTE"
"Infant deaths per 1,000 live births 2007",7.9,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
