USA Counties
 
MINNESOTA 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",7959590,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",10423660,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",12.9,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",9425,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",9840,"   ","ABS"
"Private nonfarm establishments 2000",139080,"1","ABS"
"Private nonfarm establishments 2009",146453,"1","ABS"
"Civilian labor force 2000",2807668,"   ","ABS"
"Civilian labor force 2010",2963402,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.1,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",7.3,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",132580,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",169309,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",31.2,"   ","PCT"
"Federal Government expenditure - total FY 2000",23013278,"1","TH$"
"Federal Government expenditure - total FY 2010",44375724,"1","TH$"
"Family households - married couple 2005-2009",1074080,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",185381,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",579168,"   ","ABS"
"Total housing units 1990 (complete count)",1848445,"   ","ABS"
"Total housing units 2000 (complete count)",2065946,"   ","ABS"
"Total housing units 2010 (complete count)",2347201,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",74.6,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",73,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",57007,"   ","DOL"
"Median household income 2009 /2",55621,"   ","DOL"
"People of all ages in poverty - number 2009 /2",558118,"   ","ABS"
"Number of returns 2008",2239090,"   ","ABS"
"Adjusted gross income 2008",140961271,"   ","TH$"
"Wages and salaries income 2008",108229697,"   ","TH$"
"Personal income 2000",157963755,"   ","TH$"
"Per capita personal income 2000",32017,"   ","DOL"
"Personal income 2007",213022,"   ","ML$"
"Per capita personal income 2007",41105,"   ","DOL"
"Resident population (April 1 - complete count) 2000",4919479,"   ","ABS"
"Resident population (April 1 - complete count) 2010",5303925,"   ","ABS"
"Population per square mile 2000",61.8,"   ","RTE"
"Population per square mile 2010",66.6,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",6.5,"   ","PCT"
"Resident total population estimate (July 1) 2009",5266214,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",346722,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",7,"   ","PCT"
"Population below poverty level 1999",380476,"   ","ABS"
"Population below poverty level 2005-2009",506233,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",85.3,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",5.2,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",1.1,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",4,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",4.7,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",60015531,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",71384103,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",11943,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",13751,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",98.5,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",739824,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",882408,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",64059,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",86506,"   ","ABS"
"Veterans - total 2005-2009",400974,"   ","ABS"
"Births per 1,000 population 2000",13.7,"   ","RTE"
"Births per 1,000 population 2007",14.2,"   ","RTE"
"Infant deaths per 1,000 live births 2000",5.6,"   ","RTE"
"Infant deaths per 1,000 live births 2007",5.5,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
