USA Counties
 
MISSISSIPPI 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",5486105,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",7045097,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",12.8,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",6995,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",5259,"   ","ABS"
"Private nonfarm establishments 2000",59788,"1","ABS"
"Private nonfarm establishments 2009",59607,"1","ABS"
"Civilian labor force 2000",1314154,"   ","ABS"
"Civilian labor force 2010",1313441,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",5.7,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",10.4,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",67385,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",99270,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",19.1,"   ","PCT"
"Federal Government expenditure - total FY 2000",18388576,"1","TH$"
"Federal Government expenditure - total FY 2010",31418859,"1","TH$"
"Family households - married couple 2005-2009",505237,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",195190,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",290110,"   ","ABS"
"Total housing units 1990 (complete count)",1010423,"   ","ABS"
"Total housing units 2000 (complete count)",1161953,"   ","ABS"
"Total housing units 2010 (complete count)",1274719,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",72.3,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",69.6,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",36796,"   ","DOL"
"Median household income 2009 /2",36764,"   ","DOL"
"People of all ages in poverty - number 2009 /2",620446,"   ","ABS"
"Number of returns 2008",1111268,"   ","ABS"
"Adjusted gross income 2008",47419993,"   ","TH$"
"Wages and salaries income 2008",36830239,"   ","TH$"
"Personal income 2000",59836915,"   ","TH$"
"Per capita personal income 2000",21008,"   ","DOL"
"Personal income 2007",83368,"   ","ML$"
"Per capita personal income 2007",28541,"   ","DOL"
"Resident population (April 1 - complete count) 2000",2844658,"   ","ABS"
"Resident population (April 1 - complete count) 2010",2967297,"   ","ABS"
"Population per square mile 2000",60.6,"   ","RTE"
"Population per square mile 2010",63.2,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",1.9,"   ","PCT"
"Resident total population estimate (July 1) 2009",2951996,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",107330,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",3.8,"   ","PCT"
"Population below poverty level 1999",548079,"   ","ABS"
"Population below poverty level 2005-2009",604204,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",59.1,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",37,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.5,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",0.9,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",2.7,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",25017531,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",33751407,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",8724,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",11552,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",94.4,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",514300,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",596637,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",128910,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",125507,"   ","ABS"
"Veterans - total 2005-2009",213101,"   ","ABS"
"Births per 1,000 population 2000",15.5,"   ","RTE"
"Births per 1,000 population 2007",15.9,"   ","RTE"
"Infant deaths per 1,000 live births 2000",10.7,"   ","RTE"
"Infant deaths per 1,000 live births 2007",10,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
