USA Counties
 
NORTH CAROLINA 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",11237386,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",16126939,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",12.9,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",33800,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",33889,"   ","ABS"
"Private nonfarm establishments 2000",203903,"1","ABS"
"Private nonfarm establishments 2009",218987,"1","ABS"
"Civilian labor force 2000",4123812,"   ","ABS"
"Civilian labor force 2010",4512770,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.7,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",10.6,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",224582,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",306545,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",25.8,"   ","PCT"
"Federal Government expenditure - total FY 2000",41413710,"1","TH$"
"Federal Government expenditure - total FY 2010",90736712,"1","TH$"
"Family households - married couple 2005-2009",1754944,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",457857,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",979493,"   ","ABS"
"Total housing units 1990 (complete count)",2818193,"   ","ABS"
"Total housing units 2000 (complete count)",3523944,"   ","ABS"
"Total housing units 2010 (complete count)",4327528,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",69.4,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",66.7,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",45069,"   ","DOL"
"Median household income 2009 /2",43754,"   ","DOL"
"People of all ages in poverty - number 2009 /2",1475063,"   ","ABS"
"Number of returns 2008",3686852,"   ","ABS"
"Adjusted gross income 2008",190351582,"   ","TH$"
"Wages and salaries income 2008",145657413,"   ","TH$"
"Personal income 2000",218668022,"   ","TH$"
"Per capita personal income 2000",27067,"   ","DOL"
"Personal income 2007",305022,"   ","ML$"
"Per capita personal income 2007",33735,"   ","DOL"
"Resident population (April 1 - complete count) 2000",8049313,"   ","ABS"
"Resident population (April 1 - complete count) 2010",9535483,"   ","ABS"
"Population per square mile 2000",165.2,"   ","RTE"
"Population per square mile 2010",196.1,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",6.8,"   ","PCT"
"Resident total population estimate (July 1) 2009",9380884,"   ","ABS"
