USA Counties
 
NEBRASKA

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",2088710,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",2685580,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.5,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",5150,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",5401,"   ","ABS"
"Private nonfarm establishments 2000",49623,"1","ABS"
"Private nonfarm establishments 2009",51633,"1","ABS"
"Civilian labor force 2000",949762,"   ","ABS"
"Civilian labor force 2010",976858,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",2.8,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",4.7,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",51979,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",61819,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",27.1,"   ","PCT"
"Federal Government expenditure - total FY 2000",9616883,"1","TH$"
"Federal Government expenditure - total FY 2010",16531805,"1","TH$"
"Family households - married couple 2005-2009",363659,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",66155,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",203169,"   ","ABS"
"Total housing units 1990 (complete count)",660621,"   ","ABS"
"Total housing units 2000 (complete count)",722668,"   ","ABS"
"Total housing units 2010 (complete count)",796793,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",67.4,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",67.2,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",47995,"   ","DOL"
"Median household income 2009 /2",47470,"   ","DOL"
"People of all ages in poverty - number 2009 /2",212312,"   ","ABS"
"Number of returns 2008",747358,"   ","ABS"
"Adjusted gross income 2008",41405474,"   ","TH$"
"Wages and salaries income 2008",30702515,"   ","TH$"
"Personal income 2000",47328771,"   ","TH$"
"Per capita personal income 2000",27626,"   ","DOL"
"Personal income 2007",64360,"   ","ML$"
"Per capita personal income 2007",36372,"   ","DOL"
"Resident population (April 1 - complete count) 2000",1711263,"   ","ABS"
"Resident population (April 1 - complete count) 2010",1826341,"   ","ABS"
"Population per square mile 2000",22.3,"   ","RTE"
"Population per square mile 2010",23.8,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",5.6,"   ","PCT"
"Resident total population estimate (July 1) 2009",1796619,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",85354,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",5,"   ","PCT"
"Population below poverty level 1999",161269,"   ","ABS"
"Population below poverty level 2005-2009",201851,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",86.1,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",4.5,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",1,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",1.8,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",9.2,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",20249200,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",26486612,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",11729,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",14965,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",98.5,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",285555,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",308790,"   ","ABS"
"Supplemental security income recipients (Dec.) 2000",21249,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",25613,"2","ABS"
"Veterans - total 2005-2009",149955,"   ","ABS"
"Births per 1,000 population 2000",14.4,"   ","RTE"
"Births per 1,000 population 2007",15.2,"   ","RTE"
"Infant deaths per 1,000 live births 2000",7.3,"   ","RTE"
"Infant deaths per 1,000 live births 2007",6.8,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
