USA Counties
 
NEW HAMPSHIRE

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",2082145,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",2630968,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.5,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",2287,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",2670,"   ","ABS"
"Private nonfarm establishments 2000",37414,"1","ABS"
"Private nonfarm establishments 2009",37873,"1","ABS"
"Civilian labor force 2000",694254,"   ","ABS"
"Civilian labor force 2010",743955,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",2.7,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",6.1,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",32184,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",43588,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",32.4,"   ","PCT"
"Federal Government expenditure - total FY 2000",5804579,"1","TH$"
"Federal Government expenditure - total FY 2010",11335296,"1","TH$"
"Family households - married couple 2005-2009",273768,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",46099,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",124626,"   ","ABS"
"Total housing units 1990 (complete count)",503904,"   ","ABS"
"Total housing units 2000 (complete count)",547024,"   ","ABS"
"Total housing units 2010 (complete count)",614754,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",69.7,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",71,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",63033,"   ","DOL"
"Median household income 2009 /2",60734,"   ","DOL"
"People of all ages in poverty - number 2009 /2",110769,"   ","ABS"
"Number of returns 2008",578746,"   ","ABS"
"Adjusted gross income 2008",37126036,"   ","TH$"
"Wages and salaries income 2008",28782979,"   ","TH$"
"Personal income 2000",41429037,"   ","TH$"
"Per capita personal income 2000",33401,"   ","DOL"
"Personal income 2007",54640,"   ","ML$"
"Per capita personal income 2007",41639,"   ","DOL"
"Resident population (April 1 - complete count) 2000",1235786,"   ","ABS"
"Resident population (April 1 - complete count) 2010",1316470,"   ","ABS"
"Population per square mile 2000",137.8,"   ","RTE"
"Population per square mile 2010",147,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",5.2,"   ","PCT"
"Resident total population estimate (July 1) 2009",1324575,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",88784,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",7.2,"   ","PCT"
"Population below poverty level 1999",78530,"   ","ABS"
"Population below poverty level 2005-2009",98780,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",93.9,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",1.1,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.2,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",2.2,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",2.8,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",20830057,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",25353874,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",16330,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",19246,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",97.3,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",199781,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",254752,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",11592,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",17910,"   ","ABS"
"Veterans - total 2005-2009",124688,"   ","ABS"
"Births per 1,000 population 2000",11.8,"   ","RTE"
"Births per 1,000 population 2007",10.8,"   ","RTE"
"Infant deaths per 1,000 live births 2000",5.7,"   ","RTE"
"Infant deaths per 1,000 live births 2007",5.4,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
