USA Counties
 
NEW JERSEY 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",15715595,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",19993613,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.5,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",12421,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",13535,"   ","ABS"
"Private nonfarm establishments 2000",233559,"1","ABS"
"Private nonfarm establishments 2009",231186,"1","ABS"
"Civilian labor force 2000",4287783,"   ","ABS"
"Civilian labor force 2010",4502449,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.7,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",9.5,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",194820,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",245575,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",34.1,"   ","PCT"
"Federal Government expenditure - total FY 2000",43654228,"1","TH$"
"Federal Government expenditure - total FY 2010",80990074,"1","TH$"
"Family households - married couple 2005-2009",1636834,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",400838,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",817780,"   ","ABS"
"Total housing units 1990 (complete count)",3075310,"   ","ABS"
"Total housing units 2000 (complete count)",3310275,"   ","ABS"
"Total housing units 2010 (complete count)",3553562,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",65.6,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",65.4,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",68981,"   ","DOL"
"Median household income 2009 /2",68444,"   ","DOL"
"People of all ages in poverty - number 2009 /2",798258,"   ","ABS"
"Number of returns 2008",3707193,"   ","ABS"
"Adjusted gross income 2008",278764596,"   ","TH$"
"Wages and salaries income 2008",217742500,"   ","TH$"
"Personal income 2000",323553551,"   ","TH$"
"Per capita personal income 2000",38377,"   ","DOL"
"Personal income 2007",428425,"   ","ML$"
"Per capita personal income 2007",49511,"   ","DOL"
"Resident population (April 1 - complete count) 2000",8414350,"   ","ABS"
"Resident population (April 1 - complete count) 2010",8791894,"   ","ABS"
"Population per square mile 2000",1134.5,"   ","RTE"
"Population per square mile 2010",1195.5,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",19.7,"   ","PCT"
"Resident total population estimate (July 1) 2009",8707739,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",293361,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",3.5,"   ","PCT"
"Population below poverty level 1999",699668,"   ","ABS"
"Population below poverty level 2005-2009",745925,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",68.6,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",13.7,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.3,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",8.3,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",17.7,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",102153833,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",124813580,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",11910,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",14453,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",94.8,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",1348996,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",1472335,"   ","ABS"
"Supplemental security income recipients (Dec.) 2000",146112,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",168423,"   ","ABS"
"Veterans - total 2005-2009",505290,"   ","ABS"
"Births per 1,000 population 2000",13.7,"   ","RTE"
"Births per 1,000 population 2007",13.4,"   ","RTE"
"Infant deaths per 1,000 live births 2000",6.3,"   ","RTE"
"Infant deaths per 1,000 live births 2007",5.2,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
