USA Counties
 
NEW MEXICO

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",2771474,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",3734300,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.2,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",4642,"1","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",4533,"1","ABS"
"Private nonfarm establishments 2000",42782,"1","ABS"
"Private nonfarm establishments 2009",44986,"1","ABS"
"Civilian labor force 2000",852293,"   ","ABS"
"Civilian labor force 2010",953314,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",5,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",8.4,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",53950,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",67831,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",25.1,"   ","PCT"
"Federal Government expenditure - total FY 2000",14484384,"1","TH$"
"Federal Government expenditure - total FY 2010",27958984,"1","TH$"
"Family households - married couple 2005-2009",346614,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",97869,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",207113,"   ","ABS"
"Total housing units 1990 (complete count)",632058,"   ","ABS"
"Total housing units 2000 (complete count)",780579,"   ","ABS"
"Total housing units 2010 (complete count)",901388,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",70,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",68.5,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",42742,"   ","DOL"
"Median household income 2009 /2",42830,"   ","DOL"
"People of all ages in poverty - number 2009 /2",359030,"   ","ABS"
"Number of returns 2008",818678,"   ","ABS"
"Adjusted gross income 2008",37575082,"   ","TH$"
"Wages and salaries income 2008",27925399,"   ","TH$"
"Personal income 2000",40318443,"   ","TH$"
"Per capita personal income 2000",22144,"   ","DOL"
"Personal income 2007",60318,"   ","ML$"
"Per capita personal income 2007",30706,"   ","DOL"
"Resident population (April 1 - complete count) 2000",1819046,"   ","ABS"
"Resident population (April 1 - complete count) 2010",2059179,"   ","ABS"
"Population per square mile 2000",15,"   ","RTE"
"Population per square mile 2010",17,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",9.5,"   ","PCT"
"Resident total population estimate (July 1) 2009",2009671,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",190630,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",10.5,"   ","PCT"
"Population below poverty level 1999",328933,"   ","ABS"
"Population below poverty level 2005-2009",347165,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",68.4,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",2.1,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",9.4,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",1.4,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",46.3,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",18328637,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",24469997,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",9880,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",12429,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",97.7,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",277262,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",360242,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",46660,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",60487,"   ","ABS"
"Veterans - total 2005-2009",174324,"   ","ABS"
"Births per 1,000 population 2000",14.9,"   ","RTE"
"Births per 1,000 population 2007",15.6,"   ","RTE"
"Infant deaths per 1,000 live births 2000",6.6,"   ","RTE"
"Infant deaths per 1,000 live births 2007",6.3,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
