USA Counties
 
NEVADA

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",19537592,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",28815533,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",12,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",6764,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",6443,"   ","ABS"
"Private nonfarm establishments 2000",48178,"1","ABS"
"Private nonfarm establishments 2009",59785,"1","ABS"
"Civilian labor force 2000",1062845,"   ","ABS"
"Civilian labor force 2010",1350309,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",4.5,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",14.9,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",49006,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",60609,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",21.5,"   ","PCT"
"Federal Government expenditure - total FY 2000",8632644,"1","TH$"
"Federal Government expenditure - total FY 2010",19771021,"1","TH$"
"Family households - married couple 2005-2009",450215,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",111579,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",249247,"   ","ABS"
"Total housing units 1990 (complete count)",518858,"   ","ABS"
"Total housing units 2000 (complete count)",827457,"   ","ABS"
"Total housing units 2010 (complete count)",1173814,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",60.9,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",58.8,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",55585,"   ","DOL"
"Median household income 2009 /2",53310,"   ","DOL"
"People of all ages in poverty - number 2009 /2",323738,"   ","ABS"
"Number of returns 2008",1115092,"   ","ABS"
"Adjusted gross income 2008",60831409,"   ","TH$"
"Wages and salaries income 2008",46284862,"   ","TH$"
"Personal income 2000",61427864,"   ","TH$"
"Per capita personal income 2000",30436,"   ","DOL"
"Personal income 2007",101799,"   ","ML$"
"Per capita personal income 2007",39853,"   ","DOL"
"Resident population (April 1 - complete count) 2000",1998257,"   ","ABS"
"Resident population (April 1 - complete count) 2010",2700551,"   ","ABS"
"Population per square mile 2000",18.2,"   ","RTE"
"Population per square mile 2010",24.6,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",18.7,"   ","PCT"
"Resident total population estimate (July 1) 2009",2643085,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",644825,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",32.3,"   ","PCT"
"Population below poverty level 1999",205685,"   ","ABS"
"Population below poverty level 2005-2009",278516,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",66.2,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",8.1,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",1.2,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",7.2,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.6,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",26.5,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",26999899,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",37433983,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",12452,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",14579,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",102,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",286981,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",408113,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",25540,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",41269,"   ","ABS"
"Veterans - total 2005-2009",231126,"   ","ABS"
"Births per 1,000 population 2000",15.3,"   ","RTE"
"Births per 1,000 population 2007",16,"   ","RTE"
"Infant deaths per 1,000 live births 2000",6.5,"   ","RTE"
"Infant deaths per 1,000 live births 2007",6.4,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
