USA Counties
 
NEW YORK 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",27835952,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",39813499,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.5,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",18344,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",19568,"   ","ABS"
"Private nonfarm establishments 2000",492073,"1","ABS"
"Private nonfarm establishments 2009",515819,"1","ABS"
"Civilian labor force 2000",9166972,"   ","ABS"
"Civilian labor force 2010",9630854,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",4.5,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",8.6,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",517714,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",638204,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",31.8,"   ","PCT"
"Federal Government expenditure - total FY 2000",110459021,"1","TH$"
"Federal Government expenditure - total FY 2010",202266162,"1","TH$"
"Family households - married couple 2005-2009",3230765,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",1030091,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",2103876,"   ","ABS"
"Total housing units 1990 (complete count)",7226891,"   ","ABS"
"Total housing units 2000 (complete count)",7679307,"   ","ABS"
"Total housing units 2010 (complete count)",8108103,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",53,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",53.3,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",55233,"   ","DOL"
"Median household income 2009 /2",54554,"   ","DOL"
"People of all ages in poverty - number 2009 /2",2708119,"   ","ABS"
"Number of returns 2008",8100379,"   ","ABS"
"Adjusted gross income 2008",506186136,"   ","TH$"
"Wages and salaries income 2008",389783236,"   ","TH$"
"Personal income 2000",663005163,"   ","TH$"
"Per capita personal income 2000",34898,"   ","DOL"
"Personal income 2007",900819,"   ","ML$"
"Per capita personal income 2007",46364,"   ","DOL"
"Resident population (April 1 - complete count) 2000",18976457,"   ","ABS"
"Resident population (April 1 - complete count) 2010",19378102,"   ","ABS"
"Population per square mile 2000",401.9,"   ","RTE"
"Population per square mile 2010",411.2,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",21.3,"   ","PCT"
"Resident total population estimate (July 1) 2009",19541453,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",564642,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",3,"   ","PCT"
"Population below poverty level 1999",2692202,"   ","ABS"
"Population below poverty level 2005-2009",2615897,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",65.7,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",15.9,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.6,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",7.3,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",17.6,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",178067530,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",230718065,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",9298,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",11879,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",93.8,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",3007120,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",3280575,"   ","ABS"
"Supplemental security income recipients (Dec.) 2000",616502,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",680057,"2","ABS"
"Veterans - total 2005-2009",1064754,"   ","ABS"
"Births per 1,000 population 2000",13.6,"   ","RTE"
"Births per 1,000 population 2007",13,"   ","RTE"
"Infant deaths per 1,000 live births 2000",6.4,"   ","RTE"
"Infant deaths per 1,000 live births 2007",5.6,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
