USA Counties
 
OKLAHOMA 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",3901754,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",5106585,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.5,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",8753,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",8140,"   ","ABS"
"Private nonfarm establishments 2000",85094,"1","ABS"
"Private nonfarm establishments 2009",90347,"1","ABS"
"Civilian labor force 2000",1661045,"   ","ABS"
"Civilian labor force 2010",1754690,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.1,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",7.1,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",93209,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",115351,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",22.4,"   ","PCT"
"Federal Government expenditure - total FY 2000",20757502,"1","TH$"
"Federal Government expenditure - total FY 2010",38474984,"1","TH$"
"Family households - married couple 2005-2009",708207,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",167612,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",393069,"   ","ABS"
"Total housing units 1990 (complete count)",1406499,"   ","ABS"
"Total housing units 2000 (complete count)",1514400,"   ","ABS"
"Total housing units 2010 (complete count)",1664378,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",68.4,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",67.2,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",41861,"   ","DOL"
"Median household income 2009 /2",41716,"   ","DOL"
"People of all ages in poverty - number 2009 /2",575711,"   ","ABS"
"Number of returns 2008",1403789,"   ","ABS"
"Adjusted gross income 2008",71573749,"   ","TH$"
"Wages and salaries income 2008",52686333,"   ","TH$"
"Personal income 2000",84310444,"   ","TH$"
"Per capita personal income 2000",24410,"   ","DOL"
"Personal income 2007",126273,"   ","ML$"
"Per capita personal income 2007",34997,"   ","DOL"
"Resident population (April 1 - complete count) 2000",3450654,"   ","ABS"
