USA Counties
 
PENNSYLVANIA 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",15305402,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",19625449,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",15.4,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",18275,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",19740,"   ","ABS"
"Private nonfarm establishments 2000",294741,"1","ABS"
"Private nonfarm establishments 2009",298432,"1","ABS"
"Civilian labor force 2000",6085833,"   ","ABS"
"Civilian labor force 2010",6340034,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",4.2,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",8.7,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",307902,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",390685,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",26,"   ","PCT"
"Federal Government expenditure - total FY 2000",73745415,"1","TH$"
"Federal Government expenditure - total FY 2010",145933792,"1","TH$"
"Family households - married couple 2005-2009",2434136,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",568122,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",1422147,"   ","ABS"
"Total housing units 1990 (complete count)",4938140,"   ","ABS"
"Total housing units 2000 (complete count)",5249750,"   ","ABS"
"Total housing units 2010 (complete count)",5567315,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",71.3,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",69.6,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",49737,"   ","DOL"
"Median household income 2009 /2",49501,"   ","DOL"
"People of all ages in poverty - number 2009 /2",1517347,"   ","ABS"
"Number of returns 2008",5373581,"   ","ABS"
"Adjusted gross income 2008",309688469,"   ","TH$"
"Wages and salaries income 2008",233670137,"   ","TH$"
"Personal income 2000",364837901,"   ","TH$"
"Per capita personal income 2000",29698,"   ","DOL"
"Personal income 2007",481806,"   ","ML$"
"Per capita personal income 2007",38793,"   ","DOL"
"Resident population (April 1 - complete count) 2000",12281054,"   ","ABS"
"Resident population (April 1 - complete count) 2010",12702379,"   ","ABS"
"Population per square mile 2000",274,"   ","RTE"
"Population per square mile 2010",283.9,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",5.2,"   ","PCT"
"Resident total population estimate (July 1) 2009",12604767,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",323696,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",2.6,"   ","PCT"
"Population below poverty level 1999",1304117,"   ","ABS"
"Population below poverty level 2005-2009",1462191,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",81.9,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",10.8,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.2,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",2.7,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",5.7,"   ","PCT"
