USA Counties
 
RHODE ISLAND

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",1731799,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",2148674,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",14.4,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",961,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",934,"   ","ABS"
"Private nonfarm establishments 2000",28534,"1","ABS"
"Private nonfarm establishments 2009",28682,"1","ABS"
"Civilian labor force 2000",543404,"   ","ABS"
"Civilian labor force 2010",576028,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",4.2,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",11.6,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",34490,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",43912,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",29.8,"   ","PCT"
"Federal Government expenditure - total FY 2000",6878544,"1","TH$"
"Federal Government expenditure - total FY 2010",11759411,"1","TH$"
"Family households - married couple 2005-2009",188844,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",51168,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",121687,"   ","ABS"
"Total housing units 1990 (complete count)",414572,"   ","ABS"
"Total housing units 2000 (complete count)",439837,"   ","ABS"
"Total housing units 2010 (complete count)",463388,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",60,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",60.7,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",55569,"   ","DOL"
"Median household income 2009 /2",53243,"   ","DOL"
"People of all ages in poverty - number 2009 /2",122379,"   ","ABS"
"Number of returns 2008",448083,"   ","ABS"
"Adjusted gross income 2008",25577172,"   ","TH$"
"Wages and salaries income 2008",19615422,"   ","TH$"
"Personal income 2000",30696701,"   ","TH$"
"Per capita personal income 2000",29215,"   ","DOL"
"Personal income 2007",41946,"   ","ML$"
"Per capita personal income 2007",39829,"   ","DOL"
"Resident population (April 1 - complete count) 2000",1048319,"   ","ABS"
"Resident population (April 1 - complete count) 2010",1052567,"   ","ABS"
"Population per square mile 2000",1003.2,"   ","RTE"
"Population per square mile 2010",1018.1,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",12.5,"   ","PCT"
"Resident total population estimate (July 1) 2009",1053209,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",4894,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",0.5,"   ","PCT"
"Population below poverty level 1999",120548,"   ","ABS"
"Population below poverty level 2005-2009",118618,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",81.4,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",5.7,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.6,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",2.9,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",12.4,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",10342351,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",12286485,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",9676,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",11646,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",93.4,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",192680,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",203660,"   ","ABS"
"Supplemental security income recipients (Dec.) 2000",27729,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",32809,"2","ABS"
"Veterans - total 2005-2009",81594,"   ","ABS"
"Births per 1,000 population 2000",11.9,"   ","RTE"
"Births per 1,000 population 2007",11.7,"   ","RTE"
"Infant deaths per 1,000 live births 2000",6.3,"   ","RTE"
"Infant deaths per 1,000 live births 2007",7.4,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
