USA Counties
 
SOUTH CAROLINA

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",6104316,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",8383463,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.7,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",15529,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",14021,"   ","ABS"
"Private nonfarm establishments 2000",97146,"1","ABS"
"Private nonfarm establishments 2009",103254,"1","ABS"
"Civilian labor force 2000",1988159,"   ","ABS"
"Civilian labor force 2010",2164612,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.6,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",11.2,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",97081,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",133757,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",23.5,"   ","PCT"
"Federal Government expenditure - total FY 2000",22323127,"1","TH$"
"Federal Government expenditure - total FY 2010",46578143,"1","TH$"
"Family households - married couple 2005-2009",819702,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",249741,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",466683,"   ","ABS"
"Total housing units 1990 (complete count)",1424155,"   ","ABS"
"Total housing units 2000 (complete count)",1753670,"   ","ABS"
"Total housing units 2010 (complete count)",2137683,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",72.2,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",69.3,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",43572,"   ","DOL"
"Median household income 2009 /2",42580,"   ","DOL"
"People of all ages in poverty - number 2009 /2",753286,"   ","ABS"
"Number of returns 2008",1798132,"   ","ABS"
"Adjusted gross income 2008",85729650,"   ","TH$"
"Wages and salaries income 2008",64480105,"   ","TH$"
"Personal income 2000",98270171,"   ","TH$"
"Per capita personal income 2000",24425,"   ","DOL"
"Personal income 2007",137006,"   ","ML$"
"Per capita personal income 2007",31103,"   ","DOL"
"Resident population (April 1 - complete count) 2000",4012012,"   ","ABS"
"Resident population (April 1 - complete count) 2010",4625364,"   ","ABS"
"Population per square mile 2000",133.2,"   ","RTE"
"Population per square mile 2010",153.9,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",4.4,"   ","PCT"
"Resident total population estimate (July 1) 2009",4561242,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",549410,"   ","ABS"
