USA Counties
 
SOUTH DAKOTA 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",1226459,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",1622751,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",14.3,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",3691,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",2946,"   ","ABS"
"Private nonfarm establishments 2000",23783,"1","ABS"
"Private nonfarm establishments 2009",25483,"1","ABS"
"Civilian labor force 2000",408685,"   ","ABS"
"Civilian labor force 2010",444061,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",2.7,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",4.8,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",21216,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",24275,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",24.6,"   ","PCT"
"Federal Government expenditure - total FY 2000",5140841,"1","TH$"
"Federal Government expenditure - total FY 2010",9506590,"1","TH$"
"Family households - married couple 2005-2009",163050,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",30075,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",91341,"   ","ABS"
"Total housing units 1990 (complete count)",292436,"   ","ABS"
"Total housing units 2000 (complete count)",323208,"   ","ABS"
"Total housing units 2010 (complete count)",363438,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",68.2,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",68.1,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",44828,"   ","DOL"
"Median household income 2009 /2",45048,"   ","DOL"
"People of all ages in poverty - number 2009 /2",110863,"   ","ABS"
"Number of returns 2008",340446,"   ","ABS"
"Adjusted gross income 2008",17850069,"   ","TH$"
"Wages and salaries income 2008",12216985,"   ","TH$"
"Personal income 2000",19437807,"   ","TH$"
"Per capita personal income 2000",25723,"   ","DOL"
"Personal income 2007",28454,"   ","ML$"
"Per capita personal income 2007",35760,"   ","DOL"
"Resident population (April 1 - complete count) 2000",754844,"   ","ABS"
"Resident population (April 1 - complete count) 2010",814180,"   ","ABS"
"Population per square mile 2000",9.9,"   ","RTE"
"Population per square mile 2010",10.7,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",2.2,"   ","PCT"
"Resident total population estimate (July 1) 2009",812383,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",57548,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",7.6,"   ","PCT"
"Population below poverty level 1999",95900,"   ","ABS"
"Population below poverty level 2005-2009",103752,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",85.9,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",1.3,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",8.8,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",0.9,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",2.7,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",9601175,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",12266218,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",12626,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",15390,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",100.1,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",136227,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",153508,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",12648,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",13812,"2","ABS"
"Veterans - total 2005-2009",71811,"   ","ABS"
"Births per 1,000 population 2000",13.7,"   ","RTE"
"Births per 1,000 population 2007",15.4,"   ","RTE"
"Infant deaths per 1,000 live births 2000",5.5,"   ","RTE"
"Infant deaths per 1,000 live births 2007",6.4,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
