USA Counties
 
TEXAS 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",29914774,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",42054592,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",10.3,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",84440,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",88461,"   ","ABS"
"Private nonfarm establishments 2000",471509,"1","ABS"
"Private nonfarm establishments 2009",519028,"1","ABS"
"Civilian labor force 2000",10347847,"   ","ABS"
"Civilian labor force 2010",12136384,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",4.4,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",8.2,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",582423,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",717870,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",25.4,"   ","PCT"
"Federal Government expenditure - total FY 2000",106671367,"1","TH$"
"Federal Government expenditure - total FY 2010",225724926,"1","TH$"
"Family households - married couple 2005-2009",4250481,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",1128025,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",2064684,"   ","ABS"
"Total housing units 1990 (complete count)",7008999,"   ","ABS"
"Total housing units 2000 (complete count)",8157575,"   ","ABS"
"Total housing units 2010 (complete count)",9977436,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",63.8,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",63.7,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",48199,"   ","DOL"
"Median household income 2009 /2",48286,"   ","DOL"
"People of all ages in poverty - number 2009 /2",4143077,"   ","ABS"
"Number of returns 2008",9267622,"   ","ABS"
"Adjusted gross income 2008",512357691,"   ","TH$"
"Wages and salaries income 2008",403967498,"   ","TH$"
"Personal income 2000",593139424,"   ","TH$"
"Per capita personal income 2000",28317,"   ","DOL"
"Personal income 2007",884191,"   ","ML$"
"Per capita personal income 2007",37083,"   ","DOL"
"Resident population (April 1 - complete count) 2000",20851820,"   ","ABS"
"Resident population (April 1 - complete count) 2010",25145561,"   ","ABS"
"Population per square mile 2000",79.6,"   ","RTE"
"Population per square mile 2010",96.3,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",15.8,"   ","PCT"
"Resident total population estimate (July 1) 2009",24782302,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",3930484,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",18.8,"   ","PCT"
"Population below poverty level 1999",3117609,"   ","ABS"
"Population below poverty level 2005-2009",3892532,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",70.4,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",11.8,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",0.7,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",3.8,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",37.6,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",228694755,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",311334781,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",10528,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",13061,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",98.4,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",2634620,"   ","ABS"
"Social security - benefit recipients (Dec.) 2010",3440442,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",409502,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",616968,"2","ABS"
"Veterans - total 2005-2009",1621077,"   ","ABS"
"Births per 1,000 population 2000",17.3,"   ","RTE"
"Births per 1,000 population 2007",17.1,"   ","RTE"
"Infant deaths per 1,000 live births 2000",5.7,"   ","RTE"
"Infant deaths per 1,000 live births 2007",6.3,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
