USA Counties
 
UTAH 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",2984632,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",3980570,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",9,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",9982,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",9171,"   ","ABS"
"Private nonfarm establishments 2000",55379,"1","ABS"
"Private nonfarm establishments 2009",69464,"1","ABS"
"Civilian labor force 2000",1136036,"   ","ABS"
"Civilian labor force 2010",1368048,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.4,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",7.7,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",108645,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",104621,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",28.7,"   ","PCT"
"Federal Government expenditure - total FY 2000",10042720,"1","TH$"
"Federal Government expenditure - total FY 2010",23545190,"1","TH$"
"Family households - married couple 2005-2009",517027,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",75576,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",160522,"   ","ABS"
"Total housing units 1990 (complete count)",598388,"   ","ABS"
"Total housing units 2000 (complete count)",768594,"   ","ABS"
"Total housing units 2010 (complete count)",979709,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",71.5,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",70.4,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",55642,"   ","DOL"
"Median household income 2009 /2",55183,"   ","DOL"
"People of all ages in poverty - number 2009 /2",321441,"   ","ABS"
"Number of returns 2008",981599,"   ","ABS"
"Adjusted gross income 2008",53905056,"   ","TH$"
"Wages and salaries income 2008",42256230,"   ","TH$"
"Personal income 2000",53561211,"   ","TH$"
"Per capita personal income 2000",23866,"   ","DOL"
"Personal income 2007",79618,"   ","ML$"
"Per capita personal income 2007",29831,"   ","DOL"
"Resident population (April 1 - complete count) 2000",2233169,"   ","ABS"
"Resident population (April 1 - complete count) 2010",2763885,"   ","ABS"
"Population per square mile 2000",27.2,"   ","RTE"
"Population per square mile 2010",33.6,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",7.9,"   ","PCT"
"Resident total population estimate (July 1) 2009",2784572,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",551368,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",24.7,"   ","PCT"
"Population below poverty level 1999",206328,"   ","ABS"
"Population below poverty level 2005-2009",271944,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",86.1,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",1.1,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",1.2,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",2,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.9,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",13,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",23675432,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",36574240,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",10206,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",13730,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",100.9,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",241086,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",324136,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",20174,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",28106,"2","ABS"
"Veterans - total 2005-2009",151414,"   ","ABS"
"Births per 1,000 population 2000",21.1,"   ","RTE"
"Births per 1,000 population 2007",20.7,"   ","RTE"
"Infant deaths per 1,000 live births 2000",5.2,"   ","RTE"
"Infant deaths per 1,000 live births 2007",5.1,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
