USA Counties
 
WASHINGTON

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",8642681,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",12389422,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",12.3,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",17011,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",20691,"   ","ABS"
"Private nonfarm establishments 2000",164018,"1","ABS"
"Private nonfarm establishments 2009",177276,"1","ABS"
"Civilian labor force 2000",3050021,"   ","ABS"
"Civilian labor force 2010",3531626,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",5,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",9.6,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",158189,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",193114,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",30.8,"   ","PCT"
"Federal Government expenditure - total FY 2000",33923112,"1","TH$"
"Federal Government expenditure - total FY 2010",70437491,"1","TH$"
"Family households - married couple 2005-2009",1262848,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",248966,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",698558,"   ","ABS"
"Total housing units 1990 (complete count)",2032378,"   ","ABS"
"Total housing units 2000 (complete count)",2451075,"   ","ABS"
"Total housing units 2010 (complete count)",2885677,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",64.6,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",63.9,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",56384,"   ","DOL"
"Median household income 2009 /2",56479,"   ","DOL"
"People of all ages in poverty - number 2009 /2",803266,"   ","ABS"
"Number of returns 2008",2782420,"   ","ABS"
"Adjusted gross income 2008",170108737,"   ","TH$"
"Wages and salaries income 2008",129168585,"   ","TH$"
"Personal income 2000",187853404,"   ","TH$"
"Per capita personal income 2000",31780,"   ","DOL"
"Personal income 2007",265738,"   ","ML$"
"Per capita personal income 2007",41203,"   ","DOL"
"Resident population (April 1 - complete count) 2000",5894121,"   ","ABS"
"Resident population (April 1 - complete count) 2010",6724540,"   ","ABS"
"Population per square mile 2000",88.6,"   ","RTE"
"Population per square mile 2010",101.2,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",12.1,"   ","PCT"
"Resident total population estimate (July 1) 2009",6664195,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",770052,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",13.1,"   ","PCT"
"Population below poverty level 1999",612370,"   ","ABS"
"Population below poverty level 2005-2009",749120,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",77.3,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",3.6,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",1.5,"   ","PCT"
