USA Counties
 
WISCONSIN

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",6885765,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",9247311,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",13.7,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",10780,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",10864,"   ","ABS"
"Private nonfarm establishments 2000",140415,"1","ABS"
"Private nonfarm establishments 2009",140861,"1","ABS"
"Civilian labor force 2000",2996091,"   ","ABS"
"Civilian labor force 2010",3062636,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.4,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",8.3,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",150628,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",192762,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",25.5,"   ","PCT"
"Federal Government expenditure - total FY 2000",24308108,"1","TH$"
"Federal Government expenditure - total FY 2010",54866078,"1","TH$"
"Family households - married couple 2005-2009",1149171,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",217840,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",632569,"   ","ABS"
"Total housing units 1990 (complete count)",2055774,"   ","ABS"
"Total housing units 2000 (complete count)",2321144,"   ","ABS"
"Total housing units 2010 (complete count)",2624358,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",68.4,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",68.1,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",51569,"   ","DOL"
"Median household income 2009 /2",49994,"   ","DOL"
"People of all ages in poverty - number 2009 /2",682973,"   ","ABS"
"Number of returns 2008",2441322,"   ","ABS"
"Adjusted gross income 2008",137656933,"   ","TH$"
"Wages and salaries income 2008",104246573,"   ","TH$"
"Personal income 2000",153547595,"   ","TH$"
"Per capita personal income 2000",28572,"   ","DOL"
"Personal income 2007",203084,"   ","ML$"
"Per capita personal income 2007",36272,"   ","DOL"
"Resident population (April 1 - complete count) 2000",5363675,"   ","ABS"
"Resident population (April 1 - complete count) 2010",5686986,"   ","ABS"
"Population per square mile 2000",98.8,"   ","RTE"
"Population per square mile 2010",105,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",4.4,"   ","PCT"
"Resident total population estimate (July 1) 2009",5654774,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",291066,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",5.4,"   ","PCT"
"Population below poverty level 1999",451538,"   ","ABS"
"Population below poverty level 2005-2009",605566,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",86.2,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",6.3,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",1,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",2.3,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",5.9,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",59978700,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",72283321,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",11025,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",12904,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",98.5,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",901712,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",1061501,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",84892,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",107571,"   ","ABS"
"Veterans - total 2005-2009",442545,"   ","ABS"
"Births per 1,000 population 2000",12.9,"   ","RTE"
"Births per 1,000 population 2007",13,"   ","RTE"
"Infant deaths per 1,000 live births 2000",6.6,"   ","RTE"
"Infant deaths per 1,000 live births 2007",6.5,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
