USA Counties
 
WYOMING 

"Description","Data","Footnote","Unit"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2002",984684,"   ","TH$"
"Accommodation and Food Services: total (NAICS 72) - sales of establishments with payroll 2007",1469008,"   ","TH$"
"Resident population 65 years and over, percent (July 1 - estimate) 2010",12.4,"   ","PCT"
"New private housing units authorized by building permits - total 2009 (20,000-place universe)",2294,"   ","ABS"
"New private housing units authorized by building permits - total 2010 (20,000-place universe)",2298,"   ","ABS"
"Private nonfarm establishments 2000",18120,"1","ABS"
"Private nonfarm establishments 2009",20360,"1","ABS"
"Civilian labor force 2000",266882,"   ","ABS"
"Civilian labor force 2010",293769,"   ","ABS"
"Civilian labor force unemployment rate 2000 /3",3.8,"   ","RTE"
"Civilian labor force unemployment rate 2010 /3",7,"   ","RTE"
"School enrollment - persons 3 years and over, male, enrolled in college, undergraduate years: 2005-2009",13911,"   ","ABS"
"School enrollment - persons 3 years and over, female, enrolled in college, undergraduate years: 2005-2009",17357,"   ","ABS"
"Educational attainment - persons 25 years and over - percent bachelor's degree or higher 2005-2009",23.2,"   ","PCT"
"Federal Government expenditure - total FY 2000",3221196,"1","TH$"
"Federal Government expenditure - total FY 2010",6210648,"1","TH$"
"Family households - married couple 2005-2009",110235,"   ","ABS"
"Family households - female householder, no husband present 2005-2009",16942,"   ","ABS"
"Nonfamily households - 1 person household 2005-2009",57826,"   ","ABS"
"Total housing units 1990 (complete count)",203411,"   ","ABS"
"Total housing units 2000 (complete count)",223854,"   ","ABS"
"Total housing units 2010 (complete count)",261868,"   ","ABS"
"Owner-occupied housing units - percent of total occupied housing units 2000 (complete count)",70,"   ","PCT"
"Owner-occupied housing units - percent of total occupied housing units 2010 (complete count)",69.2,"   ","PCT"
"Median household income in the past 12 months (in 2009-infaltion-adjusted dollars) in 2005-2009",51990,"   ","DOL"
"Median household income 2009 /2",54400,"   ","DOL"
"People of all ages in poverty - number 2009 /2",53974,"   ","ABS"
"Number of returns 2008",237492,"   ","ABS"
"Adjusted gross income 2008",15256080,"   ","TH$"
"Wages and salaries income 2008",10580488,"   ","TH$"
"Personal income 2000",14063058,"   ","TH$"
"Per capita personal income 2000",28470,"   ","DOL"
"Personal income 2007",24618,"   ","ML$"
"Per capita personal income 2007",47047,"   ","DOL"
"Resident population (April 1 - complete count) 2000",493782,"   ","ABS"
"Resident population (April 1 - complete count) 2010",563626,"   ","ABS"
"Population per square mile 2000",5.1,"   ","RTE"
"Population per square mile 2010",5.8,"   ","RTE"
"Place of birth, foreign-born, percent,  2005-2009",2.8,"   ","PCT"
"Resident total population estimate (July 1) 2009",544270,"   ","ABS"
"Resident total population estimate - rank - (July 1) 2009","(X)","   ","RNK"
"Resident total population estimate, net change - April 1, 2000 to July 1, 2009",50487,"   ","ABS"
"Resident total population estimate, percent change - April 1, 2000 to July 1, 2009",10.2,"   ","PCT"
"Population below poverty level 1999",54777,"   ","ABS"
"Population below poverty level 2005-2009",49051,"   ","ABS"
"Resident population: White alone, percent (April 1 - complete count) 2010",90.7,"   ","PCT"
"Resident population: Black alone, percent (April 1 - complete count) 2010",0.8,"   ","PCT"
"Resident population: American Indian and Alaska Native alone, percent (April 1 - complete count) 2010",2.4,"   ","PCT"
"Resident population: Asian alone, percent (April 1 - complete count) 2010",0.8,"   ","PCT"
"Resident population: Native Hawaiian and Other Pacific Islander alone, percent (April 1 - complete count) 2010",0.1,"   ","PCT"
"Resident population: Hispanic or Latino Origin, percent (April 1 - complete count) 2010 /1",8.9,"   ","PCT"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2002",5783756,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll 2007",8957553,"   ","TH$"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2002",11586,"   ","DOL"
"Retail trade: total (NAICS 44-45) - sales of establishments with payroll per capita 2007",17114,"   ","DOL"
"Resident population: males per 100 females (July 1 - estimate) 2010",104.1,"   ","PCT"
"Social security - benefit recipients (Dec.) 2000",76116,"2","ABS"
"Social security - benefit recipients (Dec.) 2010",91019,"2","ABS"
"Supplemental security income recipients (Dec.) 2000",5827,"2","ABS"
"Supplemental security income recipients (Dec.) 2010",6337,"2","ABS"
"Veterans - total 2005-2009",52325,"   ","ABS"
"Births per 1,000 population 2000",12.7,"   ","RTE"
"Births per 1,000 population 2007",15.1,"   ","RTE"
"Infant deaths per 1,000 live births 2000",6.7,"   ","RTE"
"Infant deaths per 1,000 live births 2007",7.3,"   ","RTE"


Data Flag Descriptions
(FN)  Footnote for this item

(NA)  Not available

(D)  Figure withheld to avoid disclosure pertaining to a specific organization or individual

(X)  Not applicable

(S)  Data suppressed

(Z)  Value would amount to less than half the unit of measurement shown

(B)  Base figure too small to meet statistical standards for reliability of a derived figure.



Footnote Descriptions
1   Includes data not distributed by county.
2   Includes data not distributed by county.  Counties do not add to the State total due to use of rounding procedure to avoid disclosure and or presence of unknowns.


Item Footnote Descriptions
\1 Persons of Hispanic or Latino origin may be of any race
\2 Data from the Small Area Income and Poverty Estimates (SAIPE) and may not be entirely comparable with 1999 and 1989
\3 Civilian unemployed as a percent of civillian labor force


Unit Descriptions

ACR Acres
YRS Years
ML$ Millions of Dollars
RTE Rate
TH$ Thousands of Dollars
PCT Percent
SYM Symbol
AVG Average
ABS Absolute Number
MIN Minutes
SQM Square Miles
DOL Dollars
THO Thousands
MIL Millions
RNK Rank
MGD Millions of Gallons per Day
GLD Gallons per Day
